IDENT,AGE10,CA0ACATAEU_15,CA0AREGIONF_15,CA0AREG_15,CA1,CA11,CA12,CA20_15,CA23A,CA7,CA8,CA8B3,HABDE_15,OS1,PER1,Q1,Q31,STRADEF,CONTRAT_15,DEST,LIEUNAIS,PCS_15,PHD,PONDEF,POSPRO_15,REGETAB,SALPRS_15,SITDE_15,TAPE,TAPI,ZUS
C0086860,27,111,RHÔNE-ALPES,82,,6,7,2,2,,,,01,2,1,1,2,52,04 Emploi à durée déterminée,THE,00,342G,18M,6.7665945914,71,11,2358,1,0,,2
C0086862,27,111,PROVENCE-ALPES-CÔTE D'AZUR,93,,6,5,2,2,,1,,03,2,1,1,2,52,04 Emploi à durée déterminée,THE,00,342E,18M,3.442499578,71,93,2336,1,0,9,2
C0086863,27,111,AUVERGNE,83,,5,6,1,2,,,,02,2,1,2,2,46,"02 CDI, Fonctionnaire",CER,00,372B,13L,39.302753994,04,83,2492,1,0,17,2
C0087000,23,111,RHÔNE-ALPES,82,2,5,4,2,2,,,,02,1,1,2,2,46,"02 CDI, Fonctionnaire",CER,00,451E,13L,37.880351493,72,91,2311.65625,1,0,29,2
C0087024,24,111,RHÔNE-ALPES,82,,4,1,2,2,,,,01,2,1,2,2,46,"02 CDI, Fonctionnaire",CER,00,461A,13L,78.047188112,03,31,1723,1,0,13,2
C0087086,27,111,RHÔNE-ALPES,82,,6,7,1,2,,,,02,2,1,1,2,52,04 Emploi à durée déterminée,THE,00,387D,18M,4.4203954062,71,82,2400,1,3,3,2
C0087317,22,111,RHÔNE-ALPES,82,,1,4,2,2,,,,02,1,1,2,2,36,04 Emploi à durée déterminée,CER,00,434B,10L,79.537932766,91,82,1517,1,6,,2
C0087319,22,221,RHÔNE-ALPES,82,,1,1,2,2,,,,01,1,1,1,2,20,,CER,00,,04T,37.718941571,,93,,2,11,,2
C0087399,22,111,PROVENCE-ALPES-CÔTE D'AZUR,93,,4,4,2,2,1,,,02,1,1,2,2,38,"02 CDI, Fonctionnaire",CER,00,377A,10L,127.53860727,04,91,1550,1,0,37,2
C0087427,22,111,RHÔNE-ALPES,82,2,1,1,2,2,3,3,1,01,1,1,2,2,24,04 Emploi à durée déterminée,CER,00,523A,06T,65.406800189,91,82,1230,1,0,,2
C0087960,22,111,RHÔNE-ALPES,82,,4,3,2,2,,,,03,2,1,2,2,24,03 Contrat aidé,CER,00,387A,10L,73.371510668,03,82,1330,1,0,0,2
C0088060,22,111,RHÔNE-ALPES,82,,3,3,2,1,2,,,02,2,1,1,2,25,01 Non salarié,CER,00,478A,05,107.06895629,,82,,1,1,1,2
C0088071,22,120,RHÔNE-ALPES,82,2,2,3,2,2,,,,01,1,1,2,2,40,04 Emploi à durée déterminée,CER,00,422E,05,64.177125015,91,82,1136,1,8,,2
C0088072,22,111,RHÔNE-ALPES,82,,7,7,2,2,,,,03,2,1,1,2,34,04 Emploi à durée déterminée,CER,00,382A,09M,7.6578803534,73,94,2333.65625,1,0,17,2
C0088195,22,221,CHAMPAGNE-ARDENNE,21,,2,2,2,1,,,,03,1,1,1,2,40,"02 CDI, Fonctionnaire",CER,00,471B,12M,64.498504835,06,82,1400,1,2,2,2
C0088281,22,112,PROVENCE-ALPES-CÔTE D'AZUR,93,,3,3,1,2,,,,02,2,1,2,2,40,04 Emploi à durée déterminée,CER,00,435B,10M,46.32593625,91,82,890,1,0,3,2
C0088408,22,112,RHÔNE-ALPES,82,,4,3,2,2,,,,01,2,1,2,2,34,"02 CDI, Fonctionnaire",CER,00,372B,09L,50.514810435,72,82,1950,1,0,29,2
C0088488,22,112,RHÔNE-ALPES,82,,,2,2,2,,,,02,1,1,1,2,26,"02 CDI, Fonctionnaire",CER,00,474A,06I,58.127239493,05,82,1645,1,3,6,2
C0088645,22,111,RHÔNE-ALPES,82,,2,2,2,2,,,,03,2,1,1,2,34,"02 CDI, Fonctionnaire",CER,03,374A,09L,54.353832942,72,82,2133.3125,1,26,31,2
C0088662,22,111,RHÔNE-ALPES,82,,1,2,2,2,,,,01,2,1,2,2,20,"02 CDI, Fonctionnaire",CER,00,545B,10L,31.882720536,92,82,2041.625,1,2,38,2
C0088679,22,112,CENTRE,24,,2,5,2,2,,,,03,1,1,1,2,40,"02 CDI, Fonctionnaire",CER,00,554A,10L,78.176647834,91,11,2200,1,0,0,2
C0088689,22,111,RHÔNE-ALPES,82,,,1,1,2,,,,02,1,1,2,2,34,"02 CDI, Fonctionnaire",CER,00,543D,09L,35.219461969,92,82,1400,1,15,36,2
C0088748,22,111,RHÔNE-ALPES,82,,2,2,2,2,,,,03,2,1,2,2,38,"02 CDI, Fonctionnaire",CER,00,545B,10L,6.3129185437,92,94,1625,1,0,17,2
C0088870,29,111,PROVENCE-ALPES-CÔTE D'AZUR,93,,6,6,2,2,3,3,1,03,2,1,1,3,52,"02 CDI, Fonctionnaire",THE,07,342A,18M,5.0779045603,71,72,2300,1,0,32,2
C0088891,21,111,NORD-PAS-DE-CALAIS,31,2,1,1,2,1,3,3,1,01,1,1,2,2,20,,CER,00,,04T,35.285418903,,31,,5,12,,2
C0088912,21,111,NORD-PAS-DE-CALAIS,31,,,1,2,2,,,,02,1,1,1,2,20,"02 CDI, Fonctionnaire",CER,00,653A,04T,35.788260763,91,31,1200,1,0,5,2
C0088961,21,111,PICARDIE,22,,7,7,2,2,,,,03,2,1,2,2,20,"02 CDI, Fonctionnaire",CER,00,532C,05,56.774427258,03,31,1850,1,0,0,2
C0088991,21,111,NORD-PAS-DE-CALAIS,31,,1,1,2,2,,,,01,1,1,1,2,20,,CER,00,,05,42.532245762,,31,,2,27,,2
C0089037,21,111,NORD-PAS-DE-CALAIS,31,,4,2,2,2,,,,02,1,1,1,2,34,05 Intérim,CER,00,472C,09M,55.987881685,92,31,,1,0,5,2
